feature,mean_abs_shap
d20_nino34_lag0,0.15473324
d20_nino4_lag2,0.11838496
tauu_eq_lag0,0.059400886
sst_nino4_lag0,0.05809969
season_cos,0.04875942
d20_nino4_lag3,0.04140784
d20_nino4_lag0,0.039678298
d20_nino4_lag1,0.036905732
sst_nino12_lag0,0.033217512
sst_nino3_lag0,0.032754067
sst_nino34_lag3,0.02297773
sst_nino34_lag0,0.015620843
sst_nino4_lag3,0.014450955
olr_eq_lag0,0.010812779
sst_nino4_lag2,0.010435163
d20_nino34_lag2,0.007900733
olr_eq_lag2,0.0074212053
tauu_eq_lag3,0.0059309416
d20_nino34_lag3,0.005896027
sst_nino34_lag2,0.0057578646
tauu_eq_lag2,0.0054563256
olr_eq_lag3,0.005261766
sst_nino4_lag1,0.0050467416
tauu_eq_lag1,0.0045852624
d20_nino34_lag1,0.004357615
sst_nino3_lag2,0.004332757
sst_nino12_lag3,0.0032370982
slp_eq_lag2,0.0020366015
season_sin,0.0018486377
sst_nino3_lag3,0.0014532987
sst_nino12_lag2,0.0
slp_eq_lag1,0.0
olr_eq_lag1,0.0
sst_nino12_lag1,0.0
sst_nino34_lag1,0.0
slp_eq_lag0,0.0
sst_nino3_lag1,0.0
slp_eq_lag3,0.0
